Accessed on Sun Oct 09 2016 10:45:10 GMT-0700 (PDT)
 
×

2288 Owners Of Avatar of Intrigue
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
 TheBeastie Last name	B	2×	17/53	  GET
 Ella	B	1×	25/53	  GET
 Kankants36	A+	1×	26/53	  GET
 Cherokee Davidson	B	1×	5/53	  GET
 Daniel Tang	B+	1×	34/53	  GET
 Sage H.	C+	1×	23/53	  GET
 Daniel Harris	A+	1×	31/53	  GET
 AnazenArt	A+	1×	8/53	  GET
 J K	B	1×	11/53	  GET
 Larala	C-	1×	5/53	  GET
 Magnaprawn	D+	1×	12/53	  GET
 Aliensmileyface	A+	1×	35/53	  GET
 Deschain	A+	1×	36/53	  GET
 Possiblypsychotic	B	1×	6/53	  GET
 Angel Cruz	B	1×	29/53	  GET
 Alex Lynn Rose	B	1×	12/53	  GET
 Jesus Camargo	A+	1×	23/53	  GET
 Virox	A+	1×	29/53	  GET
 Robin Bray	A+	1×	53/53	  GET
 Mihiart	A	1×	27/53	  GET
 Nivia Dark	B+	1×	41/53	  GET
 Megan Pauls-O'Brien	A+	1×	38/53	  GET
 Kim Dioven Lusaya	A+	1×	13/53	  GET
 Mercyfortheundead	A	1×	24/53	  GET
 Laila	B-	1×	35/53	  GET
 igor amorim	B	1×	6/53	  GET
 Exodusnexus	B-	1×	33/53	  GET
 Sara Lyn	B	1×	41/53	  GET
 Shaaya	A+	1×	37/53	  GET
 Mani	A+	1×	39/53	  GET
 Durfy	A+	1×	40/53	  GET
 Marc Vinning	A+	1×	28/53	  GET
 Andrew M. Ratto	A+	1×	31/53	  GET
 Markoi	B-	1×	23/53	  GET
 Tky2626	A+	1×	33/53	  GET
 Hayley Pearson	A+	1×	39/53	  GET
 Namphamsociu	C+	1×	13/53	  GET
 Nickthemaster13	B-	1×	31/53	  GET
 Ribena	A+	1×	43/53	  GET
 Amy Pouse	A+	1×	34/53	  GET
 Sebastian Aranguren	B-	1×	14/53	  GET
 Neonmobster_19751	B-	1×	6/53	  GET
 Brianna Uknown	C-	1×	13/53	  GET
 Definitely The All-Father	B-	1×	41/53	  GET
 Phantom GHOST_	B	1×	11/53	  GET
 Genrel_id	A+	1×	46/53	  GET
 Jonah Japzon	B-	1×	6/53	  GET
 Cameron	A+	1×	34/53	  GET
 Heidi Rakow	C+	1×	20/53	  GET
 Kbrubs	A	1×	18/53	  GET
 Alissa Kabat	A+	1×	42/53	  GET
 Karen Elliott	A+	1×	15/53	  GET
 Kyle Morse	A+	1×	46/53	  GET
 Sabina Storyteller	A-	1×	34/53	  GET
 Bentschet	B	1×	29/53	  GET
 Neonmobster_19872	B	1×	6/53	  GET
 Leonardo Martìnez	A+	1×	27/53	  GET
 Novictus	A+	1×	34/53	  GET
 Dontkill.itnow	C	1×	34/53	  GET
 Roxanne Inanis	B+	1×	14/53	  GET
 Tielk	A+	1×	2/53	  GET
 David.htc.leaco	A+	1×	37/53	  GET
 Scribix	A+	1×	22/53	  GET
 Ayyy Lmao	A+	1×	2/53	  GET
 Sunz Bautista	F	1×	15/53	  GET
 Mestra06	A-	1×	9/53	  GET
 Shelly Martinez	A+	1×	49/53	  GET
 Jana	A+	1×	33/53	  GET
 Eclipse	A-	1×	36/53	  GET
 Atomicacid7	C+	1×	4/53	  GET
 Neonmobster_19693	A	1×	36/53	  GET
 Matthyut	D+	1×	26/53	  GET
 Lucasmehringer4	A+	1×	39/53	  GET
 Jo Jo	D+	1×	16/53	  GET
 Neonmobster_1140	A+	1×	33/53	  GET
 Vincent Di Salvo	A+	1×	26/53	  GET
 Theseniorreiche	D-	1×	24/53	  GET
 Kittysenpai	C	1×	20/53	  GET
 Jenny	A+	1×	32/53	  GET
 Galeam9	A+	1×	31/53	  GET
 Matthew Monroe	A+	1×	24/53	  GET
 Cynthia Lam	C-	1×	17/53	  GET
 Laura	A-	1×	18/53	  GET
 Chris LeDoux	A+	1×	53/53	  GET
 Blueninja000	A+	1×	9/53	  GET
 Joseph	A+	1×	35/53	  GET
 Wonderpond	B-	1×	4/53	  GET
 Anya Varik	A+	1×	37/53	  GET
 Gamer_soul	C	1×	6/53	  GET
 Kwnak79	A	1×	23/53	  GET
 Leak	A+	1×	11/53	  GET
 reece duca	A+	1×	10/53	  GET
 Jack Seath	A	1×	28/53	  GET
 Excidis	B	1×	32/53	  GET
 Ritz Altairis	A+	1×	37/53	  GET
 Diego Torres	D-	1×	26/53	  GET
 Ilsy	A+	1×	43/53	  GET
 Daepicsquid	B	1×	10/53	  GET
 Kayley Stephens	A+	1×	37/53	  GET
 Seth Dohrn	C+	1×	14/53	  GET
 Constantine Ruiz	B+	1×	23/53	  GET
 Tzupy	A-	1×	36/53	  GET
 Kat Yuki	A+	1×	31/53	  GET
 Alberth Moreira	B	1×	4/53	  GET
 Darryl	A-	1×	34/53	  GET
 Kris Tolbert	B+	1×	31/53	  GET
 Daniel Smith	A-	1×	6/53	  GET
 Calhare	B	1×	11/53	  GET
 Xyrexy	A+	1×	42/53	  GET
 Aislinn Woodward	A	1×	23/53	  GET
 Fabian_norton	A+	1×	38/53	  GET
 Jacob McDowell	A-	1×	29/53	  GET
 Zabbyw	B	1×	6/53	  GET
 Josiah Rivera	A+	1×	37/53	  GET
 Rance Bobadilla	B	1×	28/53	  GET
 Dane Atticus Parker	D	1×	35/53	  GET
 Ambsace	A+	1×	40/53	  GET
 Vass	A+	1×	34/53	  GET
 Neonmobster_12295	A+	1×	31/53	  GET
 M4600	A+	1×	31/53	  GET
 Superkitty8600	A-	1×	32/53	  GET
 Neonmobster_17475	A-	1×	7/53	  GET
 Ashley Herin	A+	1×	45/53	  GET
 Porcelain Parasite	C	1×	19/53	  GET
 Felipe Lima	C+	1×	4/53	  GET
 Neonmobster_14791	A-	1×	19/53	  GET
 Carl Custodio	D	1×	42/53	  GET
 Andrew-David Jahchan	A+	1×	25/53	  GET
 Marcus conspicous	A	1×	37/53	  GET
 Kimmy Boo	A+	1×	32/53	  GET
 Haneefa Robinson	B	1×	3/53	  GET
 Chris	A+	1×	34/53	  GET
 istormyraveni	B	1×	12/53	  GET
 Austin Ulfers	A-	1×	36/53	  GET
 TurtleSea3	A+	1×	30/53	  GET
 stainedaether	A+	1×	37/53	  GET
 Kirill	A+	1×	18/53	  GET
 TheMay0r	B-	1×	39/53	  GET
 Wolfia Dragonbell	C	1×	10/53	  GET
 Juan Oerega	A+	1×	22/53	  GET
 Light Wolf	B+	1×	11/53	  GET
 NeonNemo	C+	1×	23/53	  GET
 Christian Pellacani	C+	1×	22/53	  GET
 Kaatje	A	1×	40/53	  GET
 Andrei Cristian Petrilă	A+	1×	53/53	  GET
 Zalan030606	C-	1×	26/53	  GET
 Nuju345	C	1×	6/53	  GET
 Neonmobster_582	A	1×	31/53	  GET
 Dave Wilhelm	A+	1×	49/53	  GET
 Michael Tommerup	D+	1×	6/53	  GET
 Kit Winters	A+	1×	35/53	  GET
 Corramel	A+	1×	20/53	  GET
 C-Dog	A+	1×	24/53	  GET
 Tony Deltano	A+	1×	34/53	  GET
 Josh Kendall	A+	1×	38/53	  GET
 Emeraldlion	B+	1×	27/53	  GET
 Ajax	A+	1×	38/53	  GET
 Neil Hynley Gil	B	1×	7/53	  GET
 Jenn Surber	B-	1×	32/53	  GET
 Retrosteampunk	A	1×	38/53	  GET
 Salvation	A+	1×	27/53	  GET
 Mr.lag	A-	1×	41/53	  GET
 Owy	C	1×	27/53	  GET
 Estelien	B-	1×	35/53	  GET
 Esmi	A+	1×	39/53	  GET
 Rachel Andrews	A+	1×	28/53	  GET
 JAP Design	A	1×	27/53	  GET
 Esmeralda	A+	1×	36/53	  GET
 Dazednyx	A+	1×	21/53	  GET
 Corvus Draco	A+	1×	32/53	  GET
 Meatjerky	B+	1×	27/53	  GET
 Lucasbrito2001	B+	1×	33/53	  GET
 Kuma	B+	1×	19/53	  GET
 Highdonut	B	1×	22/53	  GET
 Rainbowphoenix	A+	1×	37/53	  GET
 Sierra Plumley	B-	1×	21/53	  GET
 Victor Scrooge	A+	1×	15/53	  GET
 Mark Buffalo	F	1×	24/53	  GET
 Akihirokujo	A+	1×	42/53	  GET
 Lucille Dailey	A+	1×	35/53	  GET
 Raissa Andrade	A+	1×	41/53	  GET
 Letícia Duarte	A-	1×	32/53	  GET
 Mary Collett	B-	1×	10/53	  GET
 Breezy Lou	A+	1×	23/53	  GET
 Nelson Kossuga	A+	1×	28/53	  GET
 Andreia Ferreira	A+	1×	53/53	  GET
 James Glover	B+	1×	39/53	  GET
 Dapper McLaren	B	1×	6/53	  GET
 Dreamless Nights	A	1×	6/53	  GET
 Retrobowser	A	1×	30/53	  GET
 Hamish Larkman	A+	1×	35/53	  GET
 Thehave	C+	1×	29/53	  GET
 Chignugnugs	B+	1×	22/53	  GET
 Ana Vanessa Sampaio	B	1×	36/53	  GET
 Sirwafflezthewizard	A+	1×	38/53	  GET
 Johannes Torreso	B+	1×	36/53	  GET
 Victoria Cookie Tolentino	D-	1×	13/53	  GET
 Recvfromdaniel	B	1×	19/53	  GET
 Aubrey Cool	A+	1×	29/53	  GET
 Selnari	A	1×	42/53	  GET
 Netinhowdattebayow	B-	1×	35/53	  GET
 nodeus	A+	1×	32/53	  GET
 Lotus	A-	1×	40/53	  GET
 Lauren Sugrue	A+	1×	38/53	  GET
 Legotun	C-	1×	14/53	  GET
 Jonnyshaw123	A+	1×	12/53	  GET
 Androx06	C-	1×	32/53	  GET
 Eric Liu	A+	1×	31/53	  GET
 Nicolas Rewardi	A	1×	37/53	  GET
 Eithniel Heldrane	C	1×	6/53	  GET
 Kristen Bacoccini	B	1×	18/53	  GET
 Claire Verhagen	A+	1×	23/53	  GET
 Janetmartzero	A+	1×	31/53	  GET
 Brent Brandenburg	A+	1×	13/53	  GET
 Adam McFall	B	1×	40/53	  GET
 Max	A+	1×	20/53	  GET
 Kuranai	D+	1×	32/53	  GET
 Edgar Tenorio	A+	1×	14/53	  GET
 Neonmobster_15819	A+	1×	32/53	  GET
 Evaagland	A+	1×	36/53	  GET
 Yanga	B+	1×	30/53	  GET
 Ethelinetenenb	A	1×	41/53	  GET
 Ryan Cardy	B	1×	6/53	  GET
 Andreeacatalina	A+	1×	30/53	  GET
 Rbcca123	A	1×	43/53	  GET
 Spiderpig13	B-	1×	15/53	  GET
 Nekobread	B-	1×	30/53	  GET
 Skye Leung	C+	1×	29/53	  GET
 Christopher Ward	A+	1×	39/53	  GET
 Syn Night	A+	1×	42/53	  GET
 Coolstace Offical_stace	A+	1×	9/53	  GET
 Shiueen Eljianne Sterfhinnae	D+	1×	9/53	  GET
 Brenda	A+	1×	42/53	  GET
 Albu Anca Elena	A+	1×	26/53	  GET
 Lily Puffle	B	1×	7/53	  GET
 Randy	A+	1×	27/53	  GET
 Jonathan Zhou	C-	1×	33/53	  GET
 Vulttus	A+	1×	41/53	  GET
 Rj Narvarte	B+	1×	26/53	  GET
 Shortphatokie	A+	1×	37/53	  GET
 Tany	C+	1×	19/53	  GET
 All_the_freaks	A+	1×	42/53	  GET
 R5d4	A+	1×	37/53	  GET
 Aiden Dennis	A	1×	20/53	  GET
 Visunuhuy	C-	1×	13/53	  GET
 Doge O Saurus	A+	1×	8/53	  GET
 Stephanie Riquelme	A+	1×	19/53	  GET
 Shelmonova	A+	1×	27/53	  GET
 M. Keyes	A+	1×	42/53	  GET
 Dogmom	A+	1×	27/53	  GET
 Silvia Raven	A+	1×	37/53	  GET
 Neonmobster_15659	A+	1×	23/53	  GET
 Cramst Furthart	A+	1×	34/53	  GET
 Demonic_rain_	A+	1×	37/53	  GET
 Spencey186	B	1×	12/53	  GET
 Treye Browne	F	1×	15/53	  GET
 Abyss Prince	B	1×	20/53	  GET
 N7 Vega	B+	1×	23/53	  GET
 Pieater	B+	1×	30/53	  GET
 Alwaysmetara	A+	1×	5/53	  GET
 Evi	A+	1×	41/53	  GET
 Unrik76	C	1×	20/53	  GET
 Shelly Gagnon	A+	1×	40/53	  GET
 Lianicababia	A-	1×	40/53	  GET
 Neonmobster_14771	A+	1×	37/53	  GET
 Timmuja	A	1×	27/53	  GET
 Les Buchanan	C+	1×	20/53	  GET
 Lemusland	F+	1×	25/53	  GET
 Gloobis	B-	1×	18/53	  GET
 William Wisher	A+	1×	34/53	  GET
 Maridan Valor	A+	1×	39/53	  GET
 Cece Donuts	A+	1×	44/53	  GET
 Colby Stoner	D	1×	25/53	  GET
 Virgilio Seu	A+	1×	34/53	  GET
 Lucas Mattos	F	1×	6/53	  GET
 Oz Clockworke	C+	1×	26/53	  GET
 Webles87	A+	1×	34/53	  GET
 Gregory Olsen	B+	1×	16/53	  GET
 Zenom24	A	1×	39/53	  GET
 Palmito Guloso	C+	1×	35/53	  GET
 Calichaos	C	1×	39/53	  GET
 Koenatar	A+	1×	36/53	  GET
 Tiffany Tolbert	A+	1×	35/53	  GET
 Novariel	A	1×	32/53	  GET
 Neonmobster_19800	A+	1×	33/53	  GET
 Payton Leeann	A-	1×	35/53	  GET
 David	A	1×	33/53	  GET
 Lucie Rose	A+	1×	42/53	  GET
 LOL2125hulk What?	A+	1×	39/53	  GET
 Sara Pope-Ramsey	A+	1×	42/53	  GET
 Edward	B+	1×	44/53	  GET
 Marc Kenneth Cabato	A	1×	35/53	  GET
 Neonmobster_17039	A-	1×	18/53	  GET
 Neil Campbell	A+	1×	34/53	  GET
 Daniel Jaramillo	B	1×	36/53	  GET
 Chng Joe Hui	A+	1×	16/53	  GET
 Amemiyatayou	B	1×	39/53	  GET
 Charles Hurtt	A	1×	38/53	  GET
 Faustopolo Dainamait	B-	1×	14/53	  GET
 Luckiistyle	A+	1×	33/53	  GET
 Mila Theodin	A+	1×	45/53	  GET
 Myko Viernes	A+	1×	38/53	  GET
 Claudia Tinúviel	A+	1×	47/53	  GET
 jsly 414	D	1×	24/53	  GET
 Marie.lool	A+	1×	41/53	  GET
 Ryan O'Connor	A-	1×	15/53	  GET
 Αλέξης Παναγιώτου	A+	1×	25/53	  GET
 Trevor Lunney	A+	1×	12/53	  GET
 Dazai Osamu	A+	1×	34/53	  GET
 Timmy :D	B	1×	19/53	  GET
 Ankenkidz	A	1×	35/53	  GET
 Ilikeorange	D+	1×	34/53	  GET
 Kay Fal	B+	1×	33/53	  GET
 Stuyvie Bastick	D+	1×	18/53	  GET
 Zjilch	B+	1×	36/53	  GET
 Symonyan Razornyan	A+	1×	38/53	  GET
 Ben Anderson	D+	1×	17/53	  GET
 Caitlin Weeks	A+	1×	36/53	  GET
 M.C. McLamb	A+	1×	41/53	  GET
 Quan Nguyen	B+	1×	37/53	  GET
 Kang205175	A-	1×	7/53	  GET
 Richard Nixon	B+	1×	35/53	  GET
 Leandro Andre	A+	1×	5/53	  GET
 Budduster5	B-	1×	21/53	  GET
 Diamond_rose	A+	1×	18/53	  GET
 Christopher Krzal	A+	1×	39/53	  GET
 Anna Macdonald	B	1×	6/53	  GET
 Kali Nelson	A+	1×	35/53	  GET
 Micah Lee	C	1×	4/53	  GET
 Pemingos	A+	1×	33/53	  GET
 sergio	A+	1×	45/53	  GET
 Max Maxey	A+	1×	40/53	  GET
 AB Bright	A+	1×	31/53	  GET
 Lynx6089	C	1×	16/53	  GET
 Joseph Mykut	B-	1×	43/53	  GET
 Alexis Galvan	B-	1×	25/53	  GET
 Cory W.	B-	1×	15/53	  GET
 Akiane	A+	1×	37/53	  GET
 Namorath	B	1×	23/53	  GET
 Hxchip	A+	1×	38/53	  GET
 Pdg800	A+	1×	24/53	  GET
 Gregory Ooi	A+	1×	35/53	  GET
 gothcowboy	A+	1×	38/53	  GET
 Jake K	B+	1×	43/53	  GET
 P	B	1×	21/53	  GET
 Veronica Suen	B+	1×	28/53	  GET
 Rad_flyer	F+	1×	33/53	  GET
 Asia Kelson	B-	1×	5/53	  GET
 Emil Cryer	C	1×	7/53	  GET
 PrEditor	A+	1×	41/53	  GET
 Lucia Helena Neves	A+	1×	25/53	  GET
 Arthur Cua	A+	1×	31/53	  GET
 Aaron Lee	A+	1×	35/53	  GET
 Chaotixamayfair	C+	1×	5/53	  GET
 Han5h0tf1r5t	F	1×	32/53	  GET
 Neonmobster_19515	A+	1×	45/53	  GET
 Bobbi Arch	A+	1×	33/53	  GET
 Jvmueller	C-	1×	5/53	  GET
 Reuben houlahan	B	1×	17/53	  GET
 Atatdriver	A+	1×	44/53	  GET
 Joe Ruske	A+	1×	41/53	  GET
 Classe.tn.lady	A+	1×	28/53	  GET
 Sara Savastano	A	1×	38/53	  GET
 Liathea	A+	1×	8/53	  GET
 Dragan	D-	1×	23/53	  GET
 Zizimaro	A+	1×	48/53	  GET
 Phoenixdn4	B-	1×	34/53	  GET
 Hiddenstorms	C+	1×	37/53	  GET
 Shade20xx	A+	1×	53/53	  GET
 Brodie Bond	A+	1×	42/53	  GET
 Eduardo Jimenez	A+	1×	36/53	  GET
 Hemotapper	D+	1×	33/53	  GET
 Stu Dub	A	1×	26/53	  GET
 Dorin	A+	1×	35/53	  GET
 Jenelle Carter	A+	1×	41/53	  GET
 Manga Acero Acero	B	1×	31/53	  GET
 Steve Nelson	A+	1×	37/53	  GET
 Yoshii	A-	1×	27/53	  GET
 Rajmund Nagy	A+	1×	37/53	  GET
 Filip Vasovic	B	1×	33/53	  GET
 Darkraivynn	B+	1×	25/53	  GET
 Shadowlight1035	C-	1×	32/53	  GET
 Tonylhamil	A+	1×	34/53	  GET
 Lemonyarn	A+	1×	35/53	  GET
 Quicksanders	A+	1×	20/53	  GET
 Zoor Märté	C	1×	24/53	  GET
 Jonathan Martinez	C	1×	6/53	  GET
 Jeremiah	A	1×	41/53	  GET
 Sam M	A+	1×	33/53	  GET
 MarioSun123	A+	1×	40/53	  GET
 Hareion	A+	1×	34/53	  GET
 Tanner Johnson	A+	1×	39/53	  GET
 Neonmobster_1205	A+	1×	43/53	  GET
 Todd Espiritu Santo	A+	1×	14/53	  GET
 Ana Flávia Coetti	B-	1×	38/53	  GET
 Amalanthopi	A+	1×	23/53	  GET
 Alexis Gaul	A+	1×	25/53	  GET
 Mangareaderrad	A-	1×	43/53	  GET
 Roukan	A-	1×	26/53	  GET
 Claude Goeminne	A+	1×	31/53	  GET
 Patrick Smith	C	1×	20/53	  GET
 Anayame	A+	1×	43/53	  GET
 Alex Borrallo	A+	1×	37/53	  GET
 Davidp	A+	1×	32/53	  GET
 Emily	A+	1×	38/53	  GET
 Cheese Burger	A	1×	32/53	  GET
 husahusa	A+	1×	42/53	  GET
 MaKayla Hegger	A+	1×	14/53	  GET
 Kit Zhu	A	1×	15/53	  GET
 maddi	C	1×	9/53	  GET
 Shatterstar	D+	1×	41/53	  GET
 Raywardvagabond	A+	1×	38/53	  GET
 Llminx	A+	1×	38/53	  GET
 Sipher Machlan	A+	1×	46/53	  GET
 Mecsha May	D+	1×	8/53	  GET
 Fromageous	B	1×	13/53	  GET
 Dark	A+	1×	37/53	  GET
 Nexusking010	C	1×	16/53	  GET
 Cheshire Madhatter	C	1×	13/53	  GET
 Skrimply	C-	1×	7/53	  GET
 Maksim Loknar	B	1×	6/53	  GET
 cinna	A	1×	33/53	  GET
 19merlinp	D+	1×	30/53	  GET
 Hayley Lowe	C	1×	7/53	  GET
 Luca Quinio	A	1×	32/53	  GET
 Zechariah Weils	A+	1×	11/53	  GET
 Dylanbox	C	1×	6/53	  GET
 Pixel The Swagman	B	1×	5/53	  GET
 Edneotd	C	1×	5/53	  GET
 Velotariat	A+	1×	38/53	  GET
 The Shayminz	C	1×	23/53	  GET
 Daniel	B+	1×	41/53	  GET
 Léon Play	A+	1×	6/53	  GET
 Lyck_1021	C+	1×	17/53	  GET
 Grimmellis Augenbroe	A+	1×	10/53	  GET
 F F Wahyudi	A+	1×	32/53	  GET
 Nicholas Thompson	A+	1×	40/53	  GET
 Kylieshepard	B-	1×	31/53	  GET
 Caio	A+	1×	39/53	  GET
 Capt_Lion	A+	1×	40/53	  GET
 Shana Strife	C-	1×	20/53	  GET
 johan34	D+	1×	7/53	  GET
 Mistak3	C-	1×	28/53	  GET
 FauxPaw	B	1×	21/53	  GET
 Bob King	A+	1×	21/53	  GET
 Milvus milvus	A+	1×	35/53	  GET
 Im Unii	B+	1×	35/53	  GET
 Orange Baastard	B-	1×	27/53	  GET
 Loahnuh	A+	1×	40/53	  GET
 Cboy0512	C-	1×	37/53	  GET
 Lavalle Default	C	1×	6/53	  GET
 Ketchup	A+	1×	40/53	  GET
 Brains	B+	1×	42/53	  GET
 Moldduplicate	A+	1×	6/53	  GET
 Hugh Parsons	C-	1×	37/53	  GET
 Bubbie	B+	1×	36/53	  GET
 Jason R	A+	1×	36/53	  GET
 Vorthosmike	C+	1×	7/53	  GET
